"stt","mamh","tenmh","tenmh_en","sotc","lt","th","loaimonhoc","semester","is_open","management_unit","description","mamh_old","equivalent_mh","prerequisite_mh","previous_mh"
"285","CS231","Nhập môn thị giác máy tính","Introduction to Computer Vision","4","3","1","CN","","True","KHMT","Môn học này giới thiệu các nội dung căn bản trong ngành Thị giác máy tính, bao gồm các chủ đề về low-level computer vision và mid-level computer vision. Các chủ đề cụ thể gồm: rút trích và khai thác thông tin trên ảnh, các loại đặc trưng thị giác cấp thấp và phương pháp biểu diễn đặc trưng thị giác cấp thấp, các kĩ thuật so khớp ảnh, các kĩ thuật phân đoạn ảnh, phương pháp theo vết (tracking).","","","",""
"286","CS232","Tính toán đa phương tiện","Introduction to Multimedia Computing","4","3","1","CN","","True","KHMT","Môn học này cung cấp kiến thức nền tảng về tính toán, xử lý dữ liệu đa phương tiện (hình ảnh, video, âm thanh) và các ứng dụng, công nghệ đa phương tiện. Các chủ đề chính bao gồm: media characteristics, multimedia representation, data formats, compression, multimedia technology, multimedia computing applications.","","","",""
"287","CS233","Nhận dạng Thị giác","Visual Pattern Recognition","4","3","1","CN","","True","KHMT","","","","",""
"288","CS2433","Lập trình C/C++","C/C++ Programming","4","3","1","CSN","","True","HTTT","This course presents basic programming concepts using the C++ programming language. Standard I/O classes are emphasized. Structured and object oriented programming techniques are presented and used to design and implement a variety of programming problems.","","MSIS2433","",""
"289","CS301","Chuyên đề nghiên cứu khoa học","Scientific Research Seminar","4","4","0","CN","","True","KHMT","","","","",""
"290","CS302","Seminar","Seminar","3","3","0","CN","","True","KHMT","","","","",""
"291","CS311","Kỹ thuật lập trình trí tuệ nhân tạo","Artificial Intelligence Programming Techniques","4","3","1","CN","","True","KHMT","","","","","IT003"
"292","CS312","Hệ thống đa tác tử","Multi-Agent Systems","4","3","1","CN","","True","KHMT","Môn học cung cấp một số kiến thức về Công nghệ đa tác tử. Nội dung chính gồm:
o Các khái niệm về tác tử và hệ thống đa tác tử.
o Các hoạt động trong hệ thống đa tác tử.
o Công nghệ về hệ thống đa tác tử - JADE.
o Ứng dụng của tác tử trong một số lĩnh vực.","","","","CS110"
"293","CS313","Khai thác dữ liệu và ứng dụng","Data Mining and Applications","4","3","1","CN","","True","KHMT","Học phần cung cấp cho sinh viên các kiến thức và kỹ thuật khai thác dữ liệu để rút trích các tri thức quí báu từ các kho dữ liệu. Mối quan hệ giữa tri thức rút trích và tiến trình ra quyết định, hoạch địch chính sách sẽ được thảo luận với nhiều ứng dụng thực tế. Trong học phần này, sinh viên sẽ tìm hiểu các chủ đề: vai trò của khai thác dữ liệu, chuẩn bị dữ liệu, dự đoán/mô tả dữ liệu và ứng dụng đi kèm, các vấn đề đang được quan tâm giải quyết.","","","","IT001
IT003"
"294","CS314","Lập trình symbolic trong trí tuệ nhân tạo","Symbolic Programming in Artificial Intelligence","4","3","1","CN","","True","KHMT","Môn học này giới thiệu về lập trình tính toán hình thức thông qua ngôn ngữ lập trình Maple; Giới thiệu về các lệnh thường dùng các kiểu cấu trúc dữ liệu trong Maple; Ứng dụng lập trình tính toán trong việc trong việc thiết kế các thuật giải heuristic, xây dựng mạng tính toán trong Trí tuệ nhân tạo.","","","",""
"295","CS315","Máy học nâng cao","Advanced Machine Learning","4","3","1","CN","","True","KHMT","Môn học cung cấp một số kiến thức nâng cao của kiến thức về Máy học. Nội dung chính gồm: Giới thiệu một số thuật toán máy học nâng cao hiện đang được nghiên cứu và sử dụng như: thuật toán SVM (Support Vector Machine), PageRank (Weight PageRank, LpageRank, …), mô hình Markov ẩn.","","CS223","","CS110"
"296","CS316","Các hệ giải bài toán thông minh","Intelligent Problem-Solving Systems","4","3","1","CN","","True","KHMT","Trình bày về tiêu chuẩn và cấu trúc của hệ giải bài toán thông minh như là một lớp hệ chuyên gia, phương pháp và kỹ thuật dùng thiết kế hệ giải bài toán thông minh. Khảo sát những vấn đề kĩ thuật đặc thù của hệ IPS. Vận dụng lý thuyết để xây dựng các hệ IPS thực tế. Môn học cũng giới thiệu một số ứng dụng cụ thể.","","","",""
"297","CS317","Phát triển và vận hành hệ thống máy học","Machine Learning Operations","4","3","1","CN","","True","KHMT","","","","","CS114"
"298","CS321","Ngôn ngữ học ngữ liệu","Corpus Linguistics","4","3","1","CN","","True","KHMT","Ngữ liệu là tập hợp dữ liệu ngôn ngữ được lưu trữ trên máy tính nhằm phục vụ cho các nghiên cứ về xử lý ngôn ngữ tự nhiên trên máy tính. Mục tiêu của ngôn ngữ học ngữ liệu là giới thiệu các khía cạnh nghiên cứu của ngữ liệu nhằm phục vụ cho các bài toán trong xử lý ngôn ngữ tự nhiên cũng như các lĩnh vực liên quan như nghiên cứu ngôn ngữ, giảng dạy ngoại ngữ.","","","","IT001"
"299","CS322","Biểu diễn tri thức và ứng dụng","Knowledge representation and applications","4","4","0","CN","","True","KHMT","","","CS214","","CS212"
"300","CS323","Các hệ thống hỏi-đáp","Question-Answering Systems","4","3","1","CN","","True","KHMT","Môn học cung cấp kiến thức cơ bản thuộc hướng nghiên cứu Question Answering trong xử lý ngôn ngữ tự nhiên gồm: phương pháp phân tích câu hỏi, phương pháp phân tích tài liệu văn bản đề xác định câu trả lời, mô hình các hệ thống hỏi-đáp, phương pháp đánh giá một hệ thống hỏi-đáp.","","","","CS221"
"301","CS324","Máy học trong xử lý ngôn ngữ tự nhiên","Machine Learning for Natural Language Processing","4","3","1","CN","","True","KHMT","Máy học là một trong những công cụ quan trọng thường được sử dụng trong các nghiên cứu về xử lý ngôn ngữ tự nhiên. Do đó, môn học này nhằm cung cấp cho sinh viên một số kiến thức nền tảng về các phương pháp máy học thường được sử dụng trong xử lý ngôn ngữ tự nhiên.","","CS224","","CS221"
"302","CS325","Dịch máy","Machine Translation","4","3","1","CN","","True","KHMT","Dịch máy, là một lĩnh vực thuộc ngôn ngữ học máy tính nghiên cứu về phần mềm máy tính dịch văn bản hoặc tiếng nói từ một ngôn ngữ tự nhiên sang một ngôn ngữ khác. Ở mức độ căn bản, MT chỉ đơn thuần thay thế các từ trong một ngôn ngữ tự nhiên sang các từ thuộc ngôn ngữ khác. Với kỹ thuật ngữ liệu thì chúng ta có thể dịch được những văn bản phức tạp hơn, cho phép xử lý tốt hơn với các loại hình ngôn ngữ khác nhau, nhận dạng cụm từ, thành ngữ.","","","","CS221"
"324","CS401","Công nghệ Java","Java technology","4","3","1","CĐTN","","True","KHMT","","","","",""
"325","CS402","Phân tích thiết kế HTTT quản lý","Management-information system analysis and design","3","3","0","CN","","True","KHMT","","","","",""
"326","CS403","Các dịch vụ web","Web services","3","3","0","CN","","True","KHMT","","","","",""
"304","CS331","Thị giác máy tính nâng cao","Advanced Computer Vision","4","3","1","CN","","True","KHMT","Môn học này cung cấp khối kiến thức nâng cao trong chuyên ngành Thị giác máy tính, tập trung vào các vấn đề khai thác nội dung ảnh và video. Chủ đề được giới thiệu bao gồm: các phương pháp khai thác đặc trưng cấp cao, đặc trưng ngữ nghĩa, khai thác thông tin ngữ cảnh và mối liên hệ về không gian trong ảnh và video. Các bài toán chính bao gồm: video/image classification, image annotation, object detection, object recognition.","","","","CS231"
"305","CS332","Máy học trong thị giác máy tính","Machine Learning in Computer Vision","4","3","1","CN","","True","KHMT","Môn học này tập trung vào việc giới thiệu các giải pháp kĩ thuật nhằm ứng dụng các phương pháp máy học vào một số bài toán quan trọng trong ngành Thị giác máy tính, như: object detection (face detection, pedestrian detection), recognition (object categorization, fine-graned recognition), semantic analysis and indexing.","","","",""
"306","CS333","Đồ họa game","Computer Graphics in Game","3","2","1","CN","","True","KHMT","Môn học này giới thiệu thiệu các kỹ thuật, phương pháp và cách thức sử dụng phần mềm, công cụ lập trình đồ họa cho video game. Sinh viên được truyền đạt các kiến thức cập nhật và hiện đại nhất nhằm tiếp cận nhu cầu nhân lực của các đơn vị sản xuất video game.","","","",""
"307","CS334","Lập trình tính toán hình thức","Programming for formal computing","4","3","1","CN","","True","KHMT","","","","",""
"308","CS335","Tìm kiếm ảnh và video","Image and Video Search","4","3","1","CNTC","","True","KHMT","","","","","IT001"
"309","CS336","Truy vấn thông tin đa phương tiện","Multimedia Information Retrieval","4","3","1","CN","","True","KHMT","Môn học này chú trọng truyền đạt các kiến thức nền tảng và các kĩ thuật nâng cao sử dụng trong các hệ thống tìm kiếm dựa trên văn bản, hình ảnh và video. Các vấn đề được giới thiệu bao gồm: các phương pháp rút trích và biểu diễn đặc trưng, các phương pháp ước lượng độ tương tự, các kĩ thuật đánh chỉ mục, kết hợp đa đặc trưng trong tìm kiếm, các kĩ thuật tìm kiếm trên cơ sở dữ liệu lớn.","","","",""
"310","CS3363","Tổ chức ngôn ngữ lập trình","Organization of Programming Languages","4","3","1","ĐC","","True","HTTT","Xây dựng ngôn ngữ lập trình, các kiểu thực thi chương trình. Cấu trúc định nghĩa ngôn ngữ lập trình. Các cấu trúc điều khiển và các mô hình lập trình luồng dữ liệu.","","MSIS207","",""
"311","CS337","Xử lý âm thanh và tiếng nói","Speech and Audio Signal Processing","4","3","1","CN","","True","KHMT","Môn học này giới thiệu kiến thức nền tảng về xử lý tín hiệu số, trong đó đặc biệt là tín hiệu âm thanh và tiếng nói. Các chủ đề bao gồm: acoustic modeling, linear prediction, homomorphic processing, Time-Frequency analysis, auditory, fundamental speech recognition and synthesis.","","","","IT003"
"312","CS3373","Lập trình hướng đối tượng nâng cao cho môi trường windows","Advanced Object-Oriented Programming for Windows","4","3","1","CSN","","True","HTTT","Áp dụng mô hình tính toán hướng đối tượng vào thiết kế và phát triển các phần mềm trên môi trường windows. Sử dụng hiệu quả giao diện GUI, internet, các nguyên lý trao đổi dữ liệu và các chủ đề liên quan.","","IEM5723","",""
"313","CS338","Nhận dạng","Pattern Recognition","4","3","1","CN","","True","KHMT","Môn này cung cấp khối kiến thức cơ bản trong lĩnh vực Nhận dạng bao gồm các thuật toán nhận dạng có tham số và phi tham số như: SVM, Mạng Neural Network, Mô Hình Markov Ẩn, Maximum Likelihood, K-Nearest Neighbor, K-Mean. Sinh viên có thể cài đặt được một số thuật toán cho bài toán nhận dạng với dữ liệu đặc trưng rút trích từ các dữ liệu thực tế.","","","",""
"314","CS339","Xử lý văn bản y khoa","Natural Language Processing with Health Focus","4","3","1","CNTC","","True","KHMT","This course covers natural language processing with a focus on health applications.
Some NLP theory is covered. The main emphasis is on practice and application of free NLP tool sets in the real world. Course topics: introduce health NLP; review health NLP and health data science basic concepts; introduce the CLAMP toolset; experiment with the CLAMP NLP pipeline on real-world texts; introduce selected open-source NLP toolsets; introduce machine learning (ML) in clinical NLP; study and apply the System Development Life Cycle approach to software engineering; learn how to measure the performance of your NLP system; and learn how to manage machine and human annotation.","","","",""
"315","CS3423","Cấu trúc tập tin","File Structures","4","3","1","CSN","","True","HTTT","Trình bày các đặc điểm vật lý cơ bả của các thiết bị lưu trữ. CÁc phương pháp xử lý và tổ chức tập tin cho các tập tin tuần tự, trực tiếp, lập chỉ mục, cấu trúc cây, nghịch đảo. Ứng dụng của các khái niệm cấu trúc dữ liệu vào việc tổ chức tập tin vật lý và logic. Phân tích hiệu năng. Các thành tố của các hệ CSDL nâng cao.","","CS4153","",""
"316","CS3443","Hệ thống máy tính","Computer Systems","3","3","0","CSN","","True","HTTT","Mô tả mức thanh ghi và chức năng của hệ thống máy tính, các cấu trúc máy tính, kỹ thuật truy tìm địa chỉ, macro, liên kết, toán tử nhập – xuất. Giới thiệu về các phép toán xử lý tập tin và các thiết bị lưu trữ phụ. Lập trình bằng ngôn ngữ assembly.","","","",""
"317","CS351","Chuyên đề NCKH 1","Scientific Research 1","4","4","0","CN","","True","KHMT","","","","",""
"318","CS3513","Phương pháp số cho máy tính kỹ thuật số","Numerical methods for digital computers","3","3","0","CNTC","","True","HTTT","","","","",""
"319","CS352","Chuyên đề NCKH 2","Scientific Research 2","4","4","0","CN","","True","KHMT","","","","",""
"320","CS3613","Cơ sở tính toán","Theoretical Foundations of Computing","4","3","1","CNCS","","True","HTTT","Giới thiệu lý thuyết cổ điển về khoa học máy tính. Các máy tuần tự và ứng dụng vào các thiết bị, tiến trình và lập trình. Các mô hình tính toán: automat hữu hạn, automat đẩy xuống, máy Turing. Vài trò của không tất định. Các giới hạn của máy tính số. Giải được và không giải được.","","STAT3013","",""
"321","CS3653","Toán rời rạc","Discrete Mathematics","3","3","0","ĐC","","True","HTTT","Giới thiệu các thuật toán đệ quy, các phương pháp tìm kiếm và sắp xếp thông dụng, tổ chức chương trình, lập trình bộ nhớ động, danh sách liên kết đơn, kế thừa, đa hình, xử lý ngoại lệ, stack, queue, vectors, cây... Phân tích toán học về độ phức tạp không gian và thời gian, tình huống xấu nhất, và tình huống trung bình","","","","MATH2154"
"322","CS371","Seminar chuyên đề 1","Seminar 1","2","2","0","CN","","True","KHMT","","","","",""
"323","CS372","Seminar chuyên đề 2","Seminar 2","2","2","0","CN","","True","KHMT","","","","",""
"327","CS404","Công nghệ đa tác tử (Muli-Agent)","Multi-agent technology","4","4","0","CĐTN","","True","KHMT","","","CS312","",""
"328","CS405","Logic mờ và ứng dụng","Fuzzy Logic and Applications","4","3","1","CĐTN","","True","KHMT","Lý thuyết mờ là một công cụ quan trọng trong giải quyết các vấn để thuộc về tính toán mềm trong ngành Khoa học Máy tính và các chuyên ngành kỹ thuật khác. Môn học có 2 mục tiêu: trang bị các kiến thức cơ bản của Lý thuyết mờ và một số ứng dụng lý thuyết mờ.","","","",""
"329","CS406","Xử lý ảnh và ứng dụng","Image Processing and Applications","4","3","1","CĐTN","","True","KHMT","Môn học này nhằm cung cấp cho sinh viên những kiến thức nền tảng của xử lý ảnh cũng như kĩ thuật để xây dựng những hệ thống thông tin dựa trên ảnh.","","","",""
"330","CS407","Các kỹ thuật trong xử lý NNTN","Advanced Techniques in Natural Language Processing","4","4","0","CĐTN","","True","KHMT","","","CS326","",""
"331","CS408","Các hệ giải toán thông minh","Intelligent Problem-Solving Systems","4","4","0","CĐTN","","True","KHMT","","","CS316","",""
"332","CS409","Hệ suy diễn mờ","Fuzzy Inference Systems","4","3","1","CĐTN","","True","KHMT","Môn học có nội dung bao gồm 2 phần. Phần lý thuyết trình bày các công cụ của Lý thuyết mờ như lý thuyết tập mờ, logic mờ. Phần ứng dụng bao gồm các ứng dụng Logic mờ trong matlab, Dư báo chuỗi thời gian, Ontology mờ, Điều khiển mờ.","","","",""
"333","CS410","Mạng neural và thuật giải di truyền","Neural Networks and Genetic Algorithms","4","3","1","CĐTN","","True","KHMT","môn học cung cấp kiến thức nền tảng chuyên sâu về mạng nơ-ron và thuật giải di truyền. Bên cạnh đó, giới thiệu các ứng dụng quan trọng của mạng nơ-ron và thuật giải di truyền.","","","IT003",""
"334","CS411","Dịch máy","Machine Translation","4","4","0","CĐTN","","True","KHMT","","","CS325","",""
"335","CS412","Web ngữ nghĩa","Semantic Web","4","3","1","CĐTN","","True","KHMT","web ngữ nghĩa là một vấn đề trong lĩnh vực xử lý ngôn ngữ tự nhiên nói riêng và chuyên ngành trong lĩnh vực ứng dụng trí tuệ nhân tạo nói chung. Web ngữ nghĩa chuyên về xây dựng các hệ thống web với mức độ tri thức cao trên nền tảng các hệ cơ sở tri thức (ontology) và dữ liệu có cấu trúc, dữ liệu liên kết (linked data), ngôn ngữ truy vấn cơ sở dữ liệu liên kết.","","","","CS221"
"336","CS414","Lý thuyết automat và ứng dụng","Automata Theory and Applications","4","3","1","CĐTN","","True","KHMT","Trang bị cho sinh viên những khái niệm cơ bản về Lý thuyết, từ đó phát triển các ứng dụng xây dựng ngôn ngữ lập trình và các trình dịch (Bộ phân tích từ vựng và cú pháp trong các trình biên dịch) và các ứng dụng trong Thiết kế các hệ thống số gồm:
– Mạch tuần tự
– Mạch đếm
– Máy trạng thái
– Controller","","","","MA004"
"337","CS4143","Đồ họa máy tính","Computer Graphics","3","3","0","CNTC","","True","HTTT","Lập trình đồ họa tương tác, phần cứng đồ họa, phép biến đổi hình học, các cấu trúc dữ liệu cho việc biểu diễn đồ thị, tổng quan 3D, biểu diễn hình 3D, thuật toán ẩn cạnh và ẩn bề mặt cắt, mô hình tô bóng.","","","",""
"338","CS415","Mã hóa thông tin","Encoding information","4","3","1","CĐTN","","True","KHMT","","","","",""
"339","CS4153","Phát triển ứng dụng trên di động","Mobile Application Development","3","3","0","CN","","True","HTTT","Giới thiệu về tính toán di động khắp mọi nơi, tính toán cảm ngữ cảnh, giới thiệu hệ điều hành Android và các phương pháp lập trình trên Android. Các phương pháp lập trình nâng cao: đa luồng, đa hành vi, kết nối SQLite, Web Services. Khái niệm cross platform (PhoneGap) thiết kế ứng dụng cho nhiều loại thiết bị di động khác nhau trên đa hệ điều hành như iOs, Android,...","","","","CS2133"
"340","CS417","Nhận dạng","Pattern recognition","3","2","1","CN","","True","KHMT","","","","",""
"341","CS418","Trực quan máy tính","Visual computing","4","3","1","CĐTN","","True","KHMT","","","","",""
"342","CS419","Truy xuất thông tin","Information Retrieval","4","3","1","CĐTN","","True","KHMT","Môn học giới thiệu những kiến thức căn bản trong lĩnh vực truy xuất thông tin, bao gồm: các mô hình truy xuất thông tin, các phương pháp lập chỉ mục, mô hình không gian véc-tơ và phương pháp đánh giá mô hình truy xuất thông tin.Ngoài ra, sinh viên được hướng dẫn để thực hiện một đồán môn học. Mục đích: Môn học cung cấp cho sinh viên những kiến thức cơ sở trong lĩnh vực truy xuất thông tn, từ đó sinh viên có khả năng triển khai, dưới sự hướng dẫn của giảng viên, một đồán môn học dựa trên những kiến thức đã được học.","","","","CS115"
"343","CS420","Các vấn đề chọn lọc trong thị giác máy tính","Selected Topics in Computer Vision","4","3","1","CĐTN","","True","KHMT","Môn học này có nội dung linh hoạt, chủ yếu tập trung vào các chủ đề, bài toán mới nhất trong lĩnh vực Thị giác máy tính.","","","","CS231"
"344","CS421","Khai thác dữ liệu đa phương tiện","Khai thác dữ liệu đa phương tiện","4","3","1","CĐTN","","True","KHMT","","","","",""
"345","CS4243","Thuật toán và tiến trình trong an toàn máy tính","Algorithms and Processes in Computer Security","3","3","0","CSN","","True","HTTT","Tổng quan về các thành phần của máy tính và an toàn mạng. Thảo luận về những tiến trình bên ngoài được yêu cầu trong các hệ thống bảo mật, bảo đảm thông tin, sao lưu, khôi phục giao dịch. Phân tích chi tiết về mã hoá bảo mật, giao thức, hashing, phân quyền và chứng thực.","","","","CS4283"
"346","CS4273","Nhập môn Công nghệ phần mềm","Introduction to Software Engineering","4","3","1","CNCS","","True","HTTT","Trình bày đặc điểm cơ bản của chu trình sống phần mềm. Các công cụ, phương pháp kỹ thuật, và quản lí kiểm soát cho việc phát triển và duy trì các hệ thống phần mềm lớn. Các mô hình và công cụ đo đạc. Nhân tố con người và kiểm định hệ thống.","","","",""
"347","CS4283","Mạng máy tính","Computer Networks","3","3","0","ĐC","","True","HTTT","Cung cấp kiến thức về mạng máy tính, các hệ thống phân phối và thiết kế mạng tính hệ thống của chúng. Giới thiệu việc sử dụng, cấu trúc, và kiến trúc mạng máy tính. Các thí nghiệm mạng để mô tả cấu trúc mạng.","","","",""
"414","CSBU107","Lập trình hướng đối tượng","Object-Oriented Programming","65","40","25","CN","","True","KHMT","","","","",""
"415","CSBU108","Hệ điều hành","Operating Systems","65","40","25","CN","","True","KHMT","","","","",""
"416","CSBU109","Phát triển ứng dụng web và cơ sở dữ liệu","Database and Web Application Development","65","40","25","CN","","True","KHMT","","","","",""
"417","CSBU110","Toán rời rạc và lập trình khai báo","Discrete Mathematics and Declarative Programming","65","40","25","CN","","True","KHMT","","","","",""
"348","CS431","Các kĩ thuật học sâu và ứng dụng","Deep Learning and Applications","3","2","1","CĐTN","","True","KHMT","Môn này cung cấp các kiến thức cơ bản trong lĩnh vực máy học đồng thời tiếp cận các hướng tiếp cận máy học hiện đại như thuật toán học sâu (Deep Learning). Qua môn học này sinh viên có thể cài đặt được thuật toán huấn luyện Gradient Descend để huấn luyện mạng Neural Network(NN), hiểu được kiến trúc mạng Convolutional Neural Network(CNN) cho bài toán phân loại đối tượng, huấn luyện lại mạng CNN cho dữ liệu mới và một số ứng dụng của mạng CNN trong một số bài toán như nhận dạng gương mặt, phát hiện đối tượng, truy vấn đối tượng.","","","","IT001
IT002"
"349","CS4323","Hệ điều hành","Operating Systems","3","3","0","ĐC","","True","HTTT","Kích hoạt tiến trình và khóa ngữ cảnh tiến trình.Xử lý theo lô, hệ điều hành chia sẻ thời gian, nhiều chương trình, Quản lý tiến trình, quản lý bộ nhớ và đồng bộ hóa. Ngăn ngừa, tránh và loại bế tắc….","","","",""
"350","CS4343","Cấu trúc dữ liệu và giải thuật","Data Structures and Algorithms","4","3","1","ĐC","","True","HTTT","Tổ chức lưu trữ, các cấu trúc, các cấu trúc dữ liệu và thông tin, xử lý danh sách, xử lý cây, xử lý đồ thị, tìm kiếm, sắp xếp.","","","","CS2134"
"351","CS4344","An ninh mạng","Cyber Security","3","3","0","CSN","","True","HTTT","","","","",""
"352","CS4793","Trí tuệ nhân tạo","Artificial Intelligence","4","3","1","CNCS","","True","HTTT","Đề cập đến nhiều chủ đề chính của trí tuệ nhân tạo, bao gồm giải quyết vấn đề tìm kiếm định hướng,suy diễn logic và biểu diễn tri thức, ngôn ngữ trí tuệ nhân tạo, lịch sử, và triết lý về trí tuệ nhân tạo.","","MKTG5883","",""
"353","CS4883","Các vấn đề xã hội trong tính toán","Social issues in computing","3","3","0","CNTC","","True","HTTT","","","","",""
"354","CS5000","Luận văn","Thesis","10","10","0","KLTN","","True","HTTT","","","","",""
"355","CS501","Khóa luận tốt nghiệp","Thesis","10","10","0","KLTN","","True","KHMT","","","","",""
"356","CS502","Các công nghệ web và ứng dụng","Web technology and applications","2","2","0","CN","","True","KHMT","","","SE341","",""
"357","CS503","Môn tốt nghiệp KHMT 2","Computer science","3","3","0","CN","","True","KHMT","","","","","IT003"
"358","CS5030","Thực tập tốt nghiệp","Internship","3","3","0","TTTN","","True","HTTT","","","","",""
"359","CS5031","Thực tập doanh nghiệp","Internship","2","2","0","TN","","True","HTTT","","","","",""
"360","CS504","Công nghệ .NET",".Net technology","4","3","1","CN","","True","KHMT","","","SE310","",""
"361","CS505","Khoá luận tốt nghiệp","Thesis","10","10","0","KLTN","","True","KHMT","","","","",""
"362","CS506","Chuyên đề J2EE","J2EE","4","3","1","CN","","True","KHMT","","","SE325","",""
"363","CS507","Hệ điều hành Linux","Linux operating systems","4","3","1","CN","","True","KHMT","","","NT103","",""
"364","CS508","Lập trình cơ sở dữ liệu","Database programming","4","3","1","CN","","True","KHMT","","","IS203","",""
"365","CS510","Lý thuyết thông tin","Information theory","3","3","0","CN","","True","KHMT","","","NT104","",""
"366","CS511","Ngôn ngữ lập trình C#","C# Programming Language","4","3","1","CNTC","","True","KHMT","Nắm được ngôn ngữ lập trình C#
Hiểu được kiến trúc .NET
Nắm được phương pháp lập trình trên môi trường Window
o Lập trình giao diện
o Lập trình đồ họa GDI+
o Xử lý tập tin và thư mục
o Kết nối cơ sở dữ liệu
o Lập trình đồng hành
\- Xây dựng ứng dụng trên nền .NET Framework","","","","IT002
IT003
IT001"
"367","CS513","Ngôn ngữ lập trình Java","Java programming language","4","3","1","CN","","True","KHMT","","","SE330","",""
"368","CS515","Phân tích thiết kế hệ thống thông tin","Information system analysis and design","4","3","1","CN","","True","KHMT","","","","",""
"369","CS516","Phân tích thiết kế hướng đối tượng với UML","Object-oriented analysis and design with UML","4","3","1","CN","","True","KHMT","","","","",""
"370","CS517","Quản lý dự án","Project management","3","3","0","CN","","True","KHMT","","","IS208","",""
"371","CS518","Xây dựng phần mềm hướng đối tượng","Object-oriented software development","4","3","1","CN","","True","KHMT","","","","",""
"372","CS519","Phương pháp luận nghiên cứu khoa học","Scientific Research Methodology","3","3","0","CNTC","","True","KHMT","Môn học hướng về việc trang bị cho sinh viên những kiến thức cơ bản về khoa học và nghiên cứu khoa học nhằm mục đích nâng cao chất lượng của các đề cương và các luận văn tốt nghiệp. Qua các thí dụ cụ thể, các tiến trình trong nghiên cứu khoa học được bổ sung bởi những mô hình và lý thuyết để bồi dưỡng cho sinh viên về phương pháp thực dụng trong nghiên cứu khoa học: cách đặt vấn đề khoa học; phương pháp giải quyết các bài toán trong tin học; áp dụng các thủ thuật sáng tạo trong các bài toán tin học; các phương pháp suy luận, tư duy giả thuyết khoa học; cách viết bài báo khoa học, và sau cùng là các vấn đề liên quan đến đạo đức của người làm khoa học.","","","",""
"373","CS521","Toán rời rạc nâng cao","Advanced Discrete Mathematics","4","4","0","CNTC","","True","KHMT","Môn học này trình bày những kiến thức nâng cao về lý thuyết đồ thị, trong đó sẽ
làm rõ một số tính chất của đồ thị như: đồ thị có chu trình Euler, Hamilton, các tính
chất của cây, cây đỏ đen, cây Huffman, …
\- Ứng dụng để cài đặt các thuật toán trên đồ thị lên trên máy tính
\- Giới thiệu bài toán ghép đôi, lý thuyết mã","","","","IT003
MA004"
"374","CS522","Đại số máy tính","Computer Algebra","4","3","1","CĐTN","","True","KHMT","Môn học này trình bày những kiến thức nâng cao về lý thuyết đồ thị, trong đó sẽ
làm rõ một số tính chất của đồ thị như: đồ thị có chu trình Euler, Hamilton, các tính
chất của cây, cây đỏ đen, cây Huffman, …
\- Ứng dụng để cài đặt các thuật toán trên đồ thị lên trên máy tính
\- Giới thiệu bài toán ghép đôi, lý thuyết mã","","","","IT003
MA004"
"375","CS523","Cấu trúc dữ liệu và giải thuật nâng cao","Advanced Data Structures and Algorithms","4","3","1","CNTC","","True","KHMT","Trình bày các phương pháp tổ chức và những thao tác cơ sở trên các cấu trúc dữ liệu phức tạp, được xây dựng trên nền các cấu trúc dữ liệu cơ sở. Các giải thuật kết hợp với các cấu trúc dữ liệu để hình thành nên chương trình máy tính. Ngon ngữ lập trình được sử dụng là các ngôn ngữ lập trình cấp cao như: C/C++, Python, ...","","","","IT003
IT001"
"418","CSBU111","An ninh mạng","Cyber Security","65","40","25","CN","","True","KHMT","","","","",""
"419","CSBU112","Thiết kế phần mềm","Software Design","65","40","25","CN","","True","KHMT","","","","",""
"376","CS524","Một số ứng dụng của xử lý ngôn ngữ tự nhiên","Applied Natural Language Processing","4","3","1","CNTC","","True","KHMT","Giới thiệu một số vấn đề thực tế trong xử lý thông tin văn bản và giải pháp của
của nó cùng với việc đề xuất mô hình và xây dựng ứng dụng phù hợp. Trong quá
trình tìm giải pháp, sinh viên sẽ áp dụng các bài toán trong xử lý ngôn ngữ tự
nhiên đã học vào từng vấn đề cụ thể. Đến giai đoạn thiết kế mô hình hệ thống và
xây dựng ứng dụng, sinh viên có thể hoặc sử dụng các thư viện phần mềm về xử
lý ngôn ngữ tự nhiên để phát triển một phần mềm hoàn chỉnh có quy mô nhỏ,
phục vụ cho một vấn đề được chọn trong việc xử lý thông tin văn bản.","","","","CS221"
"377","CS525","Thị giác máy tính trong tương tác người – máy","Computer Vision in Human-Computer Interaction","4","3","1","CN","","True","KHMT","","","","",""
"378","CS526","Phát triển ứng dụng đa phương tiện trên thiết bị di động","Multimedia Mobile Applications","4","3","1","CNTC","","True","KHMT","","","","","IT002
IT003"
"379","CS527","Thực tại ảo","Virtual Reality","4","3","1","CNTC","","True","KHMT","Môn học này giới thiệu các khái niệm và mô hình cơ bản của ứng dụng thực tại ảo, các giải pháp tích hợp thông ảo, các công cụ phát triển ứng dụng thực tại ảo.","","","",""
"380","CS528","Trực quan hóa thông tin","Information Visualization","4","3","1","CNTC","","True","KHMT","Môn học này giới thiệu kiến thức nền tảng và ứng dụng của trực quan hóa thông tin. Các chủ đề bao gồm: visual encoding, data and task abstraction, visual representation, dimensionality reduction, tabular data, trees and graphs presentation.","","","",""
